date,open,high,low,close,volume,hold,settle
2023-06-19,7188.0,7274.0,7142.0,7196.0,1096083,542917,7200.0
2023-06-20,7200.0,7278.0,7182.0,7236.0,787557,535537,7230.0
2023-06-21,7190.0,7218.0,6964.0,7036.0,1080065,509797,7068.0
2023-06-26,7064.0,7162.0,7014.0,7122.0,625333,490154,7092.0
2023-06-27,7156.0,7250.0,7114.0,7156.0,856789,485720,7184.0
2023-06-28,7100.0,7380.0,7080.0,7348.0,1072947,516911,7236.0
2023-06-29,7290.0,7332.0,7224.0,7312.0,769105,504969,7284.0
2023-06-30,7280.0,7436.0,7268.0,7370.0,805127,507796,7362.0
2023-07-03,7366.0,7744.0,7364.0,7720.0,1065272,492470,7616.0
2023-07-04,7736.0,7738.0,7556.0,7596.0,957076,475254,7620.0
2023-07-05,7576.0,7648.0,7480.0,7578.0,867452,468702,7566.0
2023-07-06,7558.0,7618.0,7522.0,7568.0,885125,480471,7570.0
2023-07-07,7562.0,7580.0,7430.0,7458.0,901385,494883,7488.0
2023-07-10,7450.0,7536.0,7376.0,7516.0,968860,484531,7452.0
2023-07-11,7560.0,7686.0,7496.0,7510.0,922015,489210,7584.0
2023-07-12,7506.0,7580.0,7472.0,7514.0,821359,496280,7526.0
2023-07-13,7542.0,7618.0,7356.0,7426.0,938023,472984,7468.0
2023-07-14,7500.0,7648.0,7458.0,7482.0,1043583,474180,7552.0
2023-07-17,7536.0,7624.0,7412.0,7564.0,1095779,456584,7532.0
2023-07-18,7592.0,7694.0,7542.0,7558.0,1084312,463635,7604.0
2023-07-19,7580.0,7696.0,7552.0,7668.0,920187,462990,7626.0
2023-07-20,7718.0,7798.0,7688.0,7756.0,879852,454372,7746.0
2023-07-21,7786.0,7808.0,7654.0,7662.0,839648,428676,7738.0
2023-07-24,7652.0,7652.0,7510.0,7528.0,875181,406744,7556.0
2023-07-25,7716.0,7776.0,7616.0,7680.0,941324,391474,7692.0
2023-07-26,7656.0,7850.0,7636.0,7824.0,824153,407870,7736.0
2023-07-27,7770.0,7860.0,7708.0,7736.0,779567,368666,7776.0
2023-07-28,7738.0,7758.0,7566.0,7654.0,817184,355432,7648.0
2023-07-31,7648.0,7668.0,7430.0,7466.0,776009,346280,7530.0
2023-08-01,7448.0,7598.0,7428.0,7588.0,675300,319809,7488.0
2023-08-02,7570.0,7680.0,7504.0,7664.0,683999,297401,7604.0
2023-08-03,7630.0,7664.0,7420.0,7442.0,842730,282892,7570.0
2023-08-04,7460.0,7616.0,7416.0,7530.0,710007,263006,7522.0
2023-08-07,7530.0,7666.0,7450.0,7470.0,757382,249715,7540.0
2023-08-08,7412.0,7464.0,7288.0,7338.0,677385,242301,7378.0
2023-08-09,7290.0,7464.0,7268.0,7448.0,559992,211501,7360.0
2023-08-10,7480.0,7530.0,7402.0,7458.0,502864,190961,7464.0
2023-08-11,7428.0,7496.0,7344.0,7392.0,458181,166210,7422.0
2023-08-14,7402.0,7508.0,7344.0,7388.0,341217,141201,7414.0
2023-08-15,7280.0,7544.0,7234.0,7520.0,817217,407800,7388.0
2023-08-16,7504.0,7574.0,7484.0,7526.0,676732,412448,7532.0
2023-08-17,7568.0,7606.0,7504.0,7594.0,653797,424221,7558.0
2023-08-18,7620.0,7676.0,7600.0,7614.0,591163,433951,7630.0
2023-08-21,7582.0,7768.0,7550.0,7670.0,747322,442444,7664.0
2023-08-22,7686.0,7694.0,7532.0,7612.0,641643,431783,7628.0
2023-08-23,7592.0,7666.0,7476.0,7574.0,701200,425825,7574.0
2023-08-24,7560.0,7754.0,7528.0,7630.0,816186,436184,7660.0
2023-08-25,7616.0,7784.0,7606.0,7752.0,758169,465153,7694.0
2023-08-28,7800.0,7922.0,7670.0,7722.0,913213,444103,7800.0
2023-08-29,7730.0,7852.0,7676.0,7764.0,740183,455912,7774.0
2023-08-30,7764.0,7882.0,7764.0,7804.0,757410,459534,7824.0
2023-08-31,7870.0,7966.0,7830.0,7896.0,944762,487178,7902.0
2023-09-01,7918.0,7980.0,7832.0,7952.0,873436,504484,7908.0
2023-09-04,7970.0,7984.0,7708.0,7750.0,918449,483406,7826.0
2023-09-05,7758.0,7786.0,7684.0,7716.0,654953,473124,7740.0
2023-09-06,7726.0,7816.0,7662.0,7690.0,783433,473490,7744.0
2023-09-07,7700.0,7732.0,7558.0,7582.0,721633,473410,7648.0
2023-09-08,7580.0,7600.0,7480.0,7560.0,740080,459130,7544.0
2023-09-11,7600.0,7680.0,7408.0,7446.0,972901,474896,7568.0
2023-09-12,7420.0,7488.0,7402.0,7436.0,628992,479127,7446.0
2023-09-13,7436.0,7504.0,7352.0,7368.0,743640,483654,7426.0
2023-09-14,7408.0,7498.0,7358.0,7472.0,626230,470588,7442.0
2023-09-15,7480.0,7576.0,7448.0,7478.0,626740,469808,7506.0
2023-09-18,7468.0,7468.0,7296.0,7382.0,845369,512062,7368.0
2023-09-19,7350.0,7358.0,7254.0,7266.0,690710,532126,7300.0
2023-09-20,7310.0,7368.0,7264.0,7330.0,662087,524439,7320.0
2023-09-21,7322.0,7338.0,7152.0,7156.0,858711,550258,7256.0
2023-09-22,7178.0,7250.0,7168.0,7242.0,612494,530680,7216.0
2023-09-25,7272.0,7346.0,7176.0,7214.0,926870,515155,7258.0
2023-09-26,7228.0,7298.0,7190.0,7230.0,657376,496670,7242.0
2023-09-27,7242.0,7330.0,7214.0,7320.0,646003,474701,7268.0
2023-09-28,7336.0,7472.0,7320.0,7468.0,611191,435316,7402.0
2023-10-09,7310.0,7324.0,7130.0,7172.0,587625,457412,7184.0
2023-10-10,7146.0,7190.0,6982.0,7076.0,802540,487036,7072.0
2023-10-11,7076.0,7158.0,7032.0,7086.0,666914,479049,7086.0
2023-10-12,7044.0,7148.0,7010.0,7144.0,668884,464813,7082.0
2023-10-13,7176.0,7280.0,7116.0,7272.0,666354,442516,7194.0
2023-10-16,7312.0,7388.0,7282.0,7320.0,619768,434074,7324.0
2023-10-17,7346.0,7364.0,7282.0,7318.0,586612,439536,7324.0
2023-10-18,7318.0,7422.0,7304.0,7362.0,660461,425847,7366.0
2023-10-19,7378.0,7412.0,7314.0,7334.0,607251,427635,7362.0
2023-10-20,7300.0,7328.0,7190.0,7228.0,731522,424781,7252.0
2023-10-23,7246.0,7266.0,7140.0,7170.0,589583,437465,7198.0
2023-10-24,7184.0,7188.0,7032.0,7080.0,576017,448970,7106.0
2023-10-25,7086.0,7112.0,7006.0,7016.0,565332,473414,7052.0
2023-10-26,7040.0,7258.0,7032.0,7256.0,722682,459478,7128.0
2023-10-27,7248.0,7270.0,7146.0,7260.0,695042,445410,7214.0
2023-10-30,7280.0,7312.0,7236.0,7252.0,526226,433640,7276.0
2023-10-31,7240.0,7250.0,7052.0,7098.0,671565,450890,7138.0
2023-11-01,7110.0,7166.0,7058.0,7146.0,643781,449717,7114.0
2023-11-02,7146.0,7338.0,7066.0,7320.0,840678,448239,7212.0
2023-11-03,7328.0,7378.0,7296.0,7350.0,565971,429291,7332.0
2023-11-06,7360.0,7382.0,7266.0,7350.0,675246,429494,7318.0
2023-11-07,7358.0,7458.0,7316.0,7320.0,760354,434153,7378.0
2023-11-08,7296.0,7414.0,7280.0,7384.0,777655,439088,7356.0
2023-11-09,7350.0,7384.0,7202.0,7280.0,957449,438093,7306.0
2023-11-10,7284.0,7476.0,7268.0,7398.0,942243,430775,7356.0
2023-11-13,7410.0,7450.0,7324.0,7374.0,687446,429241,7392.0
